state,district,sex,age,id,hhid,psid,female,medwork,rural,hhweight,stateName
23,16,1,58,Q4V151331120101,513311201,51331120101,0,1,1,0.2429876,Madhya Pradesh
9,39,2,21,Q4V150821120102,508211201,50821120102,1,0,1,0.23939934,Uttar Pradesh
27,25,2,18,Q1V174134110204,741341102,74134110204,1,0,0,0.28266981,Maharashtra
14,1,1,55,Q3V158721120101,587211201,58721120101,0,1,1,0.010164097,Manipur
6,18,2,59,Q4V173129140202,731291402,73129140202,1,1,0,0.15560637,Haryana
21,11,2,48,Q4V151830130202,518301302,51830130202,1,0,1,2.7236154,Odisha
32,4,2,24,Q2V179599110104,795991101,79599110104,1,0,0,0.32997915,Kerala
23,27,2,16,Q1V173369110105,733691101,73369110105,1,0,0,0.066792563,Madhya Pradesh
9,11,2,50,Q4V150841120201,508411202,50841120201,1,1,1,0.87188786,Uttar Pradesh
27,21,1,30,Q3V177215130401,772151304,77215130401,0,1,0,0.43269533,Maharashtra
12,11,2,14,Q1V155042120404,550421204,55042120404,1,0,1,0.12301677,Arunachal Pradesh
21,5,1,26,Q3V175150130101,751501301,75150130101,0,0,0,0.41803968,Odisha
27,25,2,33,Q2V175137110102,751371101,75137110102,1,1,0,2.3976548,Maharashtra
27,34,1,15,Q3V157655210104,576552101,57655210104,0,0,1,6.3264985,Maharashtra
28,13,1,32,Q1V154742220201,547422202,54742220201,0,1,1,1.3752214,Andhra Pradesh
9,52,1,42,Q2V154548110101,545481101,54548110101,0,1,1,1.3927491,Uttar Pradesh
33,9,2,48,Q4V172157130202,721571302,72157130202,1,1,0,1.0977558,Tamil Nadu
6,20,2,40,Q4V177896110204,778961102,77896110204,1,0,0,0.35685664,Haryana
10,28,1,23,Q1V154073220103,540732201,54073220103,0,1,1,2.8033605,Bihar
10,18,2,16,Q1V156942120105,569421201,56942120105,1,0,1,0.53119087,Bihar
33,28,1,30,Q4V175531130204,755311302,75531130204,0,0,0,0.84534281,Tamil Nadu
15,3,1,46,Q2V172858110203,728581102,72858110203,0,1,0,0.044917691,Mizoram
28,4,1,46,Q1V170832110201,708321102,70832110201,0,1,0,0.14052251,Andhra Pradesh
33,9,1,30,Q4V171109130101,711091301,71109130101,0,1,0,0.67479318,Tamil Nadu
12,15,1,40,Q1V151307120201,513071202,51307120201,0,1,1,0.020665243,Arunachal Pradesh
16,4,1,39,Q3V153019130101,530191301,53019130101,0,1,1,0.062934466,Tripura
36,7,2,26,Q2V177997120202,779971202,77997120202,1,0,0,1.1723437,Telangana
22,9,2,35,Q4V174231130204,742311302,74231130204,1,1,0,0.61535889,Chhattisgarh
20,8,2,35,Q3V155276130104,552761301,55276130104,1,0,1,5.1129203,Jharkhand
12,9,1,17,Q3V150880130103,508801301,50880130103,0,0,1,0.072530739,Arunachal Pradesh
18,15,2,46,Q3V154469130102,544691301,54469130102,1,0,1,2.9293687,Assam
21,19,1,32,Q3V174084110103,740841101,74084110103,0,0,0,0.11540008,Odisha
10,13,2,50,Q4V152125110102,521251101,52125110102,1,0,1,1.8187804,Bihar
22,22,1,26,Q2V155152110103,551521101,55152110103,0,1,1,0.099890083,Chhattisgarh
