"","psid","state","stateName","district","distcode","age","sex","female","rural","medwork","hhsize","comb_wt","mpce","logRsincpc"
"12063",74466110103,"14","Manipur","06","1406",17,1,"Male","Urban",0,4,666.409973144531,12500,9.43348407745361
"12065",52840110202,"01","Jammu & Kashmir","01","0101",18,2,"Female","Rural",0,3,769.530029296875,1193.33337402344,7.08450603485107
"12067",75901110204,"28","Andhra Pradesh","04","2804",17,2,"Female","Urban",0,5,2912.11499023438,1400,7.24422740936279
"12074",54499120206,"10","Bihar","30","1030",20,2,"Female","Rural",0,7,6586.740234375,1142.85717773438,7.04128646850586
"12077",55273110104,"21","Odisha","05","2105",20,2,"Female","Rural",0,5,6014.35986328125,2000,7.60090255737305
"12084",59247120202,"18","Assam","01","1801",27,1,"Male","Rural",1,2,4514.4951171875,2500,7.82404613494873
"12086",79583110204,"10","Bihar","05","1005",27,1,"Male","Urban",1,4,3252.51489257812,2750,7.91935634613037
"12091",59859210103,"29","Karnataka","23","2923",30,1,"Male","Rural",1,4,56694.15625,2500,7.82404613494873
"12094",55811110102,"09","Uttar Pradesh","52","0952",28,2,"Female","Rural",0,5,12867.3798828125,1200,7.09007692337036
"12101",75624120104,"19","West Bengal","10","1910",23,2,"Female","Urban",0,4,7992.5,1807.5,7.49970006942749
"12104",77190130203,"14","Manipur","07","1407",17,2,"Female","Urban",0,4,140.865005493164,2000,7.60090255737305
"12118",55872220105,"23","Madhya Pradesh","44","2344",22,2,"Female","Rural",0,5,11203.33984375,800,6.68461179733276
"12120",51274220103,"27","Maharashtra","20","2720",16,1,"Male","Rural",0,6,6027.91015625,1250,7.13089895248413
"12127",72794130201,"29","Karnataka","12","2912",20,1,"Male","Urban",0,1,16281.634765625,5500,8.61250305175781
"12129",54760110104,"24","Gujarat","18","2418",18,2,"Female","Rural",0,5,9951.2099609375,1200,7.09007692337036
"12130",72020140102,"10","Bihar","29","1029",25,1,"Male","Urban",1,11,8798.91015625,727.272705078125,6.58930158615112
"12134",71494140202,"13","Nagaland","08","1308",26,2,"Female","Urban",0,5,2460.97509765625,1000,6.90775537490845
"12138",50269220202,"29","Karnataka","26","2926",25,1,"Male","Rural",1,5,7258.240234375,940,6.84588003158569
"12140",52271120402,"21","Odisha","24","2124",24,2,"Female","Rural",0,2,8728.89453125,1500,7.31322050094604
"12141",56902220201,"28","Andhra Pradesh","11","2811",28,1,"Male","Rural",1,4,16813.67578125,1462.5,7.28790235519409
"12143",70392120207,"24","Gujarat","16","2416",25,1,"Male","Urban",1,9,6562,1000,6.90775537490845
"12145",57683220104,"14","Manipur","04","1404",18,2,"Female","Rural",0,5,501.404998779297,1800,7.49554204940796
"12151",55857120402,"20","Jharkhand","17","2017",26,2,"Female","Rural",0,2,6520.490234375,2500,7.82404613494873
"12152",79818120206,"09","Uttar Pradesh","03","0903",26,2,"Female","Urban",0,8,1125.28002929688,1250,7.13089895248413
"12155",50270220103,"18","Assam","02","1802",17,1,"Male","Rural",0,4,8808.7197265625,1500,7.31322050094604
"12158",50138110103,"10","Bihar","22","1022",23,1,"Male","Rural",0,4,8588.08984375,1500,7.31322050094604
"12164",54001230101,"19","West Bengal","09","1909",30,1,"Male","Rural",1,3,61014.46484375,2333.33325195312,7.75505304336548
"12167",55205110108,"08","Rajasthan","01","0801",24,2,"Female","Rural",0,11,21677.244140625,1909.09094238281,7.55438232421875
"12170",54140120107,"27","Maharashtra","29","2729",17,2,"Female","Rural",0,7,1585.43005371094,1000,6.90775537490845
"12171",70548130501,"21","Odisha","09","2109",21,1,"Male","Urban",0,1,5351.669921875,3800,8.24275588989258
"12175",52432110105,"10","Bihar","30","1030",18,1,"Male","Rural",0,6,3365.61010742188,333.333343505859,5.80914306640625
"12177",53454210103,"01","Jammu & Kashmir","18","0118",19,1,"Male","Rural",0,5,3342.7548828125,2400,7.78322410583496
"12181",57414110210,"08","Rajasthan","11","0811",21,2,"Female","Rural",0,10,28376.294921875,800,6.68461179733276
"12182",52233120107,"24","Gujarat","09","2409",19,1,"Male","Rural",1,7,1736.07495117188,2142.85717773438,7.66989517211914
